order_id,customer_id,customer_name,email,order_date,product_category,order_amount,payment_method,country,state,signup_date
1053,C0141,Alex Lee,alex.lee@mail.com,2023-01-29,electronics,2543,pay pal,united states,california,2023-01-29
1191,C0012,Maria Garcia,maria.garcia@example.com,2023-01-29,office supplies,2428,cash,united states,california,2023-01-29
1192,C0061,David Kim,david.kim@mail.com,2023-01-13,fashion,1904,debit card,united states,california,2023-01-13
1063,C0059,Emily Clark,emily.clark@email.com,2023-01-20,electronics,2623,pay pal,united states,california,2023-01-20
1093,C0119,David Kim,david.kim@example.com,2023-01-14,home & kitchen,2526,unknown,united states,california,2023-01-14
1187,C0012,Sarah Johnson,sarah.johnson@email.com,2023-01-06,office supplies,1066,pay pal,united states,california,2023-01-06
1185,C0128,Linda Wong,linda.wong@example.com,2023-01-06,home & kitchen,1422,pay pal,united states,california,2023-01-06
1047,C0055,David Kim,david.kim@email.com,2023-01-08,electronics,1895,pay pal,united states,new york,2023-01-08
1041,C0055,Linda Wong,linda.wong@mail.com,2023-01-20,electronics,832,cash,united states,new york,2023-01-20
1121,C0084,Sarah Johnson,sarah.johnson@mail.com,2023-01-15,fashion,,unknown,united states,new york,2023-01-15
1156,C0098,Linda Wong,linda.wong@mail.com,2023-01-27,home & kitchen,2520,unknown,united states,new york,2023-01-27
1050,C0065,John Doe,unknown,2023-01-31,home & kitchen,767,unknown,united states,new york,2023-01-31
1038,C0020,Emily Clark,emily.clark@example.com,2023-01-23,electronics,1472,pay pal,united states,texas,2023-01-23
1051,C0126,Jane Smith,jane.smith@mail.com,2023-01-11,electronics,2891,pay pal,canada,pennsylvania,2023-01-11
1037,C0066,Linda Wong,linda.wong@example.com,2023-01-31,electronics,1324,pay pal,united states,pennsylvania,2023-01-31
1079,C0095,David Kim,david.kim@example.com,2023-01-20,electronics,694,pay pal,united states,pennsylvania,2023-01-20
1088,C0041,Linda Wong,linda.wong@mail.com,2023-01-25,electronics,2634,pay pal,united states,pennsylvania,2023-01-25
1131,C0020,Emily Clark,emily.clark@example.com,2023-01-17,electronics,1393,debit card,canada,pennsylvania,2023-01-17
1099,C0062,Jane Smith,jane.smith@example.com,2023-01-25,fashion,1436,unknown,canada,pennsylvania,2023-01-25
1032,C0074,Maria Garcia,maria.garcia@mail.com,2023-01-18,electronics,1618,debit card,united states,pennsylvania,2023-01-18
1160,C0103,Linda Wong,linda.wong@mail.com,2023-01-04,home & kitchen,2174,unknown,united states,pennsylvania,2023-01-04
1159,C0103,Chris Evans,chris.evans@example.com,2023-01-02,electronics,,credit card,canada,california,2023-01-02
1089,C0039,Linda Wong,unknown,2023-01-30,home & kitchen,2762,credit card,united states,california,2023-01-30
1119,C0007,Emily Clark,emily.clark@example.com,2023-01-25,electronics,748,credit card,canada,new york,2023-01-25
1124,C0063,John Doe,john.doe@example.com,2023-01-08,electronics,2988,credit card,canada,new york,2023-01-08
1162,C0122,Jane Smith,jane.smith@example.com,2023-01-03,electronics,,credit card,canada,new york,2023-01-03
1070,C0018,Chris Evans,chris.evans@email.com,2023-01-08,electronics,61,credit card,united states,texas,2023-01-08
1105,C0036,Chris Evans,chris.evans@mail.com,2023-01-21,electronics,2170,credit card,united states,texas,2023-01-21
1126,C0127,Alex Lee,alex.lee@mail.com,2023-01-01,electronics,1911,credit card,united states,pennsylvania,2023-01-01
1168,C0126,Alex Lee,unknown,2023-01-26,home & kitchen,,credit card,united states,pennsylvania,2023-01-26
1135,C0064,Sarah Johnson,sarah.johnson@mail.com,2023-01-07,electronics,2754,debit card,united states,california,2023-01-07
1137,C0082,Emily Clark,emily.clark@example.com,2023-01-08,electronics,955,pay pal,united states,california,2023-01-08
1164,C0100,John Doe,john.doe@email.com,2023-01-09,electronics,,debit card,united states,california,2023-01-09
1128,C0023,Michael Brown,michael.brown@email.com,2023-01-16,electronics,1014,pay pal,united states,texas,2023-01-16
1116,C0019,Michael Brown,michael.brown@example.com,2023-01-09,electronics,,pay pal,united states,new york,2023-01-09
1095,C0061,Michael Brown,michael.brown@mail.com,2023-01-08,fashion,,unknown,canada,new york,2023-01-08
1058,C0037,Michael Brown,michael.brown@email.com,2023-01-26,fashion,2602,pay pal,canada,pennsylvania,2023-01-26
