order_id,customer_id,customer_name,email,order_date,product_category,order_amount,payment_method,country,state,signup_date
1001,C0029,John Doe,john.doe@email.com,2023-01-08,electronics,"$2,468",credit card,US,New York,2020-10-31
1002,C0144,Maria Garcia,maria.garcia@example.com,2023-13-01,Home&Kitchen,2909,Paypal,U.S., NY ,2019-03-17
1003,C0024,Michael Brown,,20-01-2023,Electronics,561,credit card,usa,TX,
1004,C0148,Maria Garcia,maria.garcia@email.com,25-01-2023,electronics,NaN,,Canada,Texas,
1005,C0054,David Kim,david.kim@example.com,01/03/2023,Home & Kitchen,NaN,Debit Card,Canada,Texas,2018-04-25
1006,C0081,Michael Brown,michael.brown@email.com,19-01-2023,Home & Kitchen,1670,CreditCard,U.S., NY ,02/23/2021
1007,C0068,Emily Clark,emily.clark@example.com,01/12/2023,office supplies,242,CreditCard,Canada,PA,
1008,C0098,Emily Clark,emily.clark@example.com,2023-01-09,electronics,NaN,credit card,U.S.,PA,2018-11-20
1009,C0068,Chris Evans,chris.evans@example.com,28-01-2023,Home & Kitchen,$676,Paypal,United States,CA,
1010,C0062,John Doe,john.doe@example.com,2023-13-01,electronics,575,CreditCard,U.S.,PA,01/09/2021
1011,C0052,David Kim,david.kim@example.com,2023-13-01,electronics,NaN,Credit Card,usa,New York,2021-04-20
1012,C0019,John Doe,john.doe@email.com,01/11/2023,Home&Kitchen,2038,,US,Pennsylvania,2020-04-13
1013,C0025,Michael Brown,michael.brown@mail.com,2023-01-15,electronics,$298,Debit Card,US,New York,2021-01-03
1014,C0109,Alex Lee,alex.lee@email.com,2023-13-01,electronics,$257,credit card,US, NY ,
1015,C0055,Michael Brown,michael.brown@email.com,13-01-2023,office supplies,2903,CreditCard,US,TX,04/30/2018
1016,C0139,John Doe,john.doe@email.com,01/19/2023,Electronics,"$2,130",credit card,Canada,New York,09/03/2018
1017,C0064,Emily Clark,emily.clark@example.com,22-01-2023,Home&Kitchen,NaN,Debit Card,U.S.,PA,10/07/2021
1018,C0077,Sarah Johnson,sarah.johnson@email.com,2023-01-01,electronics,NaN,CreditCard,U.S.,California,
1019,C0041,Sarah Johnson,sarah.johnson@example.com,2023-01-10,Home&Kitchen,NaN,credit card,USA, NY ,08/01/2019
1020,C0054,Linda Wong,linda.wong@example.com,2023-13-01,Home&Kitchen,2648,Pay Pal,USA,CA,09/25/2018
1021,C0068,Alex Lee,alex.lee@example.com,2023-01-23,electronics,$358,Paypal,usa, NY ,2020-05-30
1022,C0079,Linda Wong,linda.wong@email.com,01/12/2023,electronics,2343,Debit Card,US, NY ,2020-04-24
1023,C0086,Michael Brown,michael.brown@example.com,01/08/2023,electronics,208,Debit Card,United States,Texas,2019-09-18
1024,C0007,Maria Garcia,maria.garcia@mail.com,31-01-2023,Fashion,NaN,Credit Card,USA,TX,
1025,C0010,Jane Smith,jane.smith@mail.com,2023-13-01,electronics,NaN,Credit Card,Canada,PA,11/30/2020
1026,C0051,Linda Wong,linda.wong@example.com,20-01-2023,electronics,NaN,Cash,U.S.,PA,08/29/2019
1027,C0033,Maria Garcia,maria.garcia@mail.com,01/24/2023,Home&Kitchen,NaN,Pay Pal,US,PA,05/27/2021
1028,C0083,Sarah Johnson,sarah.johnson@example.com,01/17/2023,electronics,NaN,credit card,US,TX,2019-04-06
1029,C0007,John Doe,john.doe@mail.com,2023-01-20,office supplies,2629,Cash,United States,PA,10/30/2018
1030,C0002,Jane Smith,jane.smith@email.com,2023-13-01,Electronics,547,CreditCard,United States,Texas,06/08/2021
1031,C0130,Michael Brown,michael.brown@example.com,2023-13-01,office supplies,NaN,,Canada,New York,2019-07-17
1032,C0074,Maria Garcia,maria.garcia@mail.com,01/18/2023,Electrnics,1618,Debit Card,USA,PA,11/09/2019
1033,C0120,Michael Brown,,2023-01-27,Office Supplies,NaN,Cash,United States,New York,
1034,C0112,Sarah Johnson,,2023-13-01,Electrnics,"$1,964",Cash,usa,CA,
